date,pred,upper_bound,lower_bound
2024-02-05,233.32639984883272,181.61750573807282,314.508791634196
2024-02-06,232.022083989695,175.37865302624914,311.648360479086
2024-02-07,234.46053237731215,178.2456535943778,314.95378628771664
2024-02-08,233.8977459739256,177.71918843067826,315.7349777215099
2024-02-09,238.6210889616074,179.9033280306395,316.8958661812555
2024-02-10,292.18319220539775,222.82928695870208,385.4757970148617
2024-02-11,319.01878839973335,239.3080985088851,422.8375939259086
2024-02-12,291.5694312706709,222.91849292534482,387.5486517217939
2024-02-13,299.5161140533254,221.6864140193957,398.76358419784606
2024-02-14,288.43833648854303,218.3441066138418,387.2422321789778
2024-02-15,259.3943780510612,195.90725987832298,344.75539516579795
2024-02-16,250.53351396085333,187.9245551519945,332.5471913999872
2024-02-17,218.9265014855147,166.5713509230722,291.52021681509194
2024-02-18,195.5113573548678,147.37103107650805,259.00288098279526
2024-02-19,155.2422649943111,118.36022661068914,202.66285225124653
2024-02-20,138.23602722680383,105.35198036574202,181.79364064230165
2024-02-21,128.42646179760064,98.94812533743438,169.75597564683733
2024-02-22,120.64015581364127,91.27647186013075,159.95899200935222
2024-02-23,121.76263935322318,93.71897968659366,158.9143058587908
2024-02-24,121.3646388320604,92.62443872165169,158.58464878820112
2024-02-25,126.74321883610035,96.1526452100453,167.7523175689312
2024-02-26,171.52474720954498,130.0416773431292,231.30476321324772
2024-02-27,184.88827617162937,137.58777262987775,245.2547223827022
2024-02-28,190.80371083201317,146.74548202873297,249.3814110563426
2024-02-29,183.24692657786667,137.34519072775439,239.78948292597786
2024-03-01,177.97621166371758,132.9323764951518,239.2807891117888
2024-03-02,178.47374170220712,131.98604953212492,230.7869177113494
2024-03-03,209.48497557920976,159.07511980662022,284.5907191893212
2024-03-04,255.56730173738447,190.2276562489754,336.2040325438138
2024-03-05,258.9130264120455,193.80341597335845,341.45351096591025
2024-03-06,252.29364081198855,190.48955429906817,331.5630054415551
2024-03-07,235.6079388066496,172.91509102853595,315.2984050195394
2024-03-08,242.17720474234721,176.83941789332428,319.40206082619324
2024-03-09,294.4253533799938,220.1259319446734,394.9022476808913
2024-03-10,288.79903249659884,219.97643637121945,387.270167061725
2024-03-11,331.39666244357255,250.0607271938261,437.3047927846285
2024-03-12,311.9121928576804,233.92115732079523,411.7691553458306
2024-03-13,281.8859486102593,210.01451452777,365.3294102547988
2024-03-14,254.82759841004534,186.7619877230175,335.3906479896647
2024-03-15,238.81042121957168,180.33452332322028,316.9651355050799
2024-03-16,216.81822464391203,164.44427907224528,284.97746389464254
2024-03-17,200.5119457990031,152.99124125927685,271.1230841308764
2024-03-18,234.57823943305118,177.51978830764392,308.8198999601603
2024-03-19,223.20442149364,166.40079575112568,293.37396816662726
2024-03-20,216.77645657592848,160.53206479035723,282.09359962212494
2024-03-21,199.83548396612534,152.48283544236972,266.5904489190203
2024-03-22,192.06742866316492,146.7357644253088,261.43255933303556
2024-03-23,178.04215831507642,133.1128571562985,238.433719715034
2024-03-24,167.49507607908401,125.01292314636011,223.9367740762248
2024-03-25,193.90623341690736,142.5936793650686,259.01301097536617
2024-03-26,193.44167814196288,145.62851153681393,258.42108185518737
2024-03-27,198.4843275123579,150.33404543855258,262.7619141861487
2024-03-28,211.58009133305202,158.61260337686787,279.6482188850964
2024-03-29,270.5618606097007,204.72955511751644,359.5644648128817
2024-03-30,319.9751034793317,237.7646196385281,424.4704327631394
2024-03-31,383.2268414820824,287.79041563875177,500.4940688881272
2024-04-01,447.33350784447134,333.22183044995984,580.6372219630861
2024-04-02,454.2125103416701,337.3776912640534,604.3936709020245
2024-04-03,454.04258268337236,337.5913489682214,598.028871328565
2024-04-04,416.65099582975233,311.27609525720055,542.9832950876097
2024-04-05,360.6148086979516,272.0847406857522,471.3431163581945
2024-04-06,337.65236491825175,252.5068496971855,447.4946697655601
2024-04-07,324.17674157055484,244.94907622282852,431.85494424339316
2024-04-08,319.9286914321652,237.1863308296336,429.81953879552003
2024-04-09,322.2943424154072,242.66178845393182,427.7740513991286
2024-04-10,298.702392773091,224.8536560322136,395.713553180879
2024-04-11,267.1298429644391,201.2064584739965,352.58037308242046
2024-04-12,248.4415293652576,191.7932898390544,327.81246766264695
2024-04-13,228.57682662053622,171.72681134121478,301.35902532188686
2024-04-14,207.61166739421157,157.56004289128364,274.9507343334529
2024-04-15,189.93152370459327,141.25956810068135,252.70728792751186
2024-04-16,163.6200472047763,123.11148398491551,219.962457705984
2024-04-17,152.14143498124315,113.95230184804974,198.4468721617669
2024-04-18,144.4972835805811,109.3902214177679,196.6611455295494
2024-04-19,143.03602343758573,108.15164625829944,193.77464124467045
2024-04-20,136.35808714641246,102.56506364573414,181.872046234469
2024-04-21,132.89756352738715,101.64266258500166,176.01468365321438
2024-04-22,133.78807943872044,103.83116180213256,178.74127744506464
2024-04-23,130.52089712682016,98.78583551470427,176.93346424886604
2024-04-24,128.49917503859663,98.05999670257209,171.27612123379248
2024-04-25,119.18230044443943,88.70828932712634,156.86786146015112
2024-04-26,114.94981000952455,86.96358530656771,152.20045658343167
2024-04-27,114.25721700752413,86.59743850491202,153.6738024817238
2024-04-28,122.95769342641651,92.86921658145253,159.8389554901231
