date,flow
2023-10-02,23.117833333333333
2023-10-03,23.483
2023-10-04,20.497583333333335
2023-10-05,19.328708333333335
2023-10-06,22.69804166666667
2023-10-07,20.897583333333333
2023-10-08,21.444708333333335
2023-10-09,20.362041666666666
2023-10-10,18.988166666666668
2023-10-11,18.556541666666664
2023-10-12,19.986708333333333
2023-10-13,21.158
2023-10-14,22.121333333333336
2023-10-15,22.851208333333332
2023-10-16,24.183083333333332
2023-10-17,25.29795833333333
2023-10-18,26.059166666666666
2023-10-19,31.033625
2023-10-20,37.724833333333336
2023-10-21,34.031083333333335
2023-10-22,33.940666666666665
2023-10-23,41.1675
2023-10-24,46.11904166666667
2023-10-25,45.08583333333333
2023-10-26,45.5155
2023-10-27,51.52258333333333
2023-10-28,57.405
2023-10-29,83.092125
2023-10-30,102.89954166666666
2023-10-31,101.50191666666666
2023-11-01,145.640875
2023-11-02,172.04741666666666
2023-11-03,154.12441666666666
2023-11-04,145.26358333333334
2023-11-05,211.88120833333335
2023-11-06,190.48654166666665
2023-11-07,250.42216666666664
2023-11-08,251.39970833333334
2023-11-09,217.53420833333334
2023-11-10,181.45333333333335
2023-11-11,183.43916666666667
2023-11-12,227.84891666666667
2023-11-13,215.15937499999998
2023-11-14,242.45895833333336
2023-11-15,219.62204166666666
2023-11-16,192.40904166666667
2023-11-17,167.87033333333332
2023-11-18,148.86979166666666
2023-11-19,142.0755
2023-11-20,127.88408333333332
2023-11-21,118.55808333333334
2023-11-22,109.57350000000001
2023-11-23,98.41254166666666
2023-11-24,96.98179166666667
2023-11-25,90.37683333333332
2023-11-26,88.96637500000001
2023-11-27,86.99220833333334
2023-11-28,83.03870833333333
2023-11-29,82.226375
2023-11-30,83.881375
2023-12-01,95.16429166666666
2023-12-02,101.13854166666665
2023-12-03,216.15579166666666
2023-12-04,297.1399166666667
2023-12-05,240.69016666666667
2023-12-06,198.43475
2023-12-07,199.23166666666668
2023-12-08,185.76233333333334
2023-12-09,174.33558333333335
2023-12-10,229.99158333333332
2023-12-11,251.8384583333333
2023-12-12,239.076
2023-12-13,243.752375
2023-12-14,226.46829166666666
2023-12-15,220.21291666666664
2023-12-16,218.87058333333334
2023-12-17,197.29054166666666
2023-12-18,186.5995
2023-12-19,167.55229166666666
2023-12-20,157.67245833333334
2023-12-21,156.381875
2023-12-22,141.36908333333335
2023-12-23,136.13825
2023-12-24,131.49170833333332
2023-12-25,126.308625
2023-12-26,120.814375
2023-12-27,113.1155
2023-12-28,115.21199999999999
2023-12-29,110.466875
2023-12-30,107.025125
2023-12-31,106.22874999999999
2024-01-01,102.33075000000001
2024-01-02,97.90837499999999
2024-01-03,98.45470833333333
2024-01-04,100.95129166666668
2024-01-05,109.88166666666666
2024-01-06,140.35204166666668
2024-01-07,157.38529166666666
2024-01-08,171.97470833333333
2024-01-09,161.62145833333332
2024-01-10,148.902875
2024-01-11,137.34287500000002
2024-01-12,131.11470833333334
2024-01-13,134.081375
2024-01-14,144.841375
2024-01-15,143.25866666666667
2024-01-16,152.06804166666666
2024-01-17,226.0785
2024-01-18,362.18758333333335
2024-01-19,476.30608333333333
2024-01-20,559.185375
2024-01-21,630.0035833333334
2024-01-22,735.1579166666667
2024-01-23,484.07691666666665
2024-01-24,385.713875
2024-01-25,346.99191666666667
2024-01-26,319.24666666666667
2024-01-27,293.2094583333333
2024-01-28,263.5817916666667
2024-01-29,247.38945833333332
2024-01-30,228.28916666666666
2024-01-31,218.148
2024-02-01,206.30274999999997
2024-02-02,197.50679166666666
2024-02-03,186.99024999999997
2024-02-04,171.09375
2024-02-05,162.80404166666668
2024-02-06,162.68675
2024-02-07,154.93933333333334
2024-02-08,153.49245833333333
2024-02-09,153.01075
2024-02-10,158.62220833333333
2024-02-11,165.21729166666668
2024-02-12,219.08679166666664
2024-02-13,228.839125
2024-02-14,208.98874999999998
2024-02-15,203.14241666666666
2024-02-16,192.951875
2024-02-17,193.77104166666666
2024-02-18,233.04579166666667
2024-02-19,244.35329166666668
2024-02-20,215.41600000000003
2024-02-21,196.110625
2024-02-22,189.56766666666667
2024-02-23,179.29258333333334
2024-02-24,175.78025
2024-02-25,181.69391666666664
2024-02-26,177.904375
2024-02-27,193.12625
2024-02-28,320.727875
2024-02-29,383.625
2024-03-01,367.05483333333336
2024-03-02,334.6720833333333
2024-03-03,313.9170833333333
2024-03-04,310.21999999999997
2024-03-05,403.8325
2024-03-06,412.8725
2024-03-07,411.5416666666667
2024-03-08,382.24333333333334
2024-03-09,351.9145833333334
2024-03-10,354.9591666666667
2024-03-11,446.9708333333333
2024-03-12,526.8529166666666
2024-03-13,486.29791666666665
2024-03-14,437.61958333333337
2024-03-15,393.18
2024-03-16,359.77500000000003
2024-03-17,334.21791666666667
2024-03-18,317.72499999999997
2024-03-19,299.93
2024-03-20,295.15833333333336
2024-03-21,292.28000000000003
2024-03-22,288.7004166666667
2024-03-23,273.5525
2024-03-24,253.49625
2024-03-25,252.19000000000003
2024-03-26,241.63833333333332
2024-03-27,234.60416666666666
2024-03-28,234.5775
2024-03-29,235.25875
2024-03-30,247.86374999999998
2024-03-31,301.985
