date,rain,soil_moisture_7_to_28cm,wind_gusts_10m,temperature_2m,cloud_cover_low,surface_pressure,terrestrial_radiation,cloud_cover_high
2023-10-02,0.0,0.158125,18.622499375,22.795197875,0.0,936.806104375,296.3734559375,13.083333333333334
2023-10-03,0.0,0.15741666666666668,16.634999510416666,19.73557265625,0.0,939.3061022916667,293.5749355208333,14.541666666666666
2023-10-04,0.0,0.15658333333333332,21.86999934375,19.198291645833333,0.0,940.4535731249999,290.8379209166667,10.104166666666666
2023-10-05,0.0,0.15558333333333332,13.4174996875,20.30446861458333,0.0,939.454245,288.09907166666665,0.10416666666666667
2023-10-06,0.0,0.15575,12.56999975,21.5710208125,0.0,939.7603952083333,285.33873604166666,0.0
2023-10-07,0.0,0.15512499999999999,14.767499468750001,21.52984358333333,0.0,939.1851866666666,282.5552629791667,3.5625
2023-10-08,0.0,0.1543125,13.154999395833334,20.591906124999998,0.0,939.7266904166667,279.75244895833333,69.4375
2023-10-09,0.0,0.154,14.842499468749999,20.794625,0.0,939.98068375,276.9328590416667,48.041666666666664
2023-10-10,0.0,0.15370833333333334,13.949999677083333,19.0168748125,0.0,938.0636356250001,274.0989162916667,22.1875
2023-10-11,0.0,0.15335416666666665,12.749999622916667,17.994947927083334,0.0,936.5030183333333,271.25333279166665,22.729166666666668
2023-10-12,0.0,0.153,15.134999479166666,19.22106238541667,0.0,935.7696452083333,268.39875208333336,0.7083333333333334
2023-10-13,0.008333333333333333,0.15312499999999998,21.0449994375,17.800489458333335,0.0625,934.1749364583334,265.5377601041667,53.770833333333336
2023-10-14,0.03958333333333334,0.15341666666666667,17.504999208333334,16.506041624999998,23.041666666666668,935.2930997916666,262.6733517916667,33.0
2023-10-15,0.19166666666666665,0.15397916666666667,14.017499608333333,13.968479166666667,25.708333333333332,932.5635083333333,259.80891864583333,91.77083333333333
2023-10-16,0.075,0.15447916666666667,19.2074995,15.413510395833333,63.916666666666664,927.1892995833333,256.94635293749997,66.27083333333333
2023-10-17,0.043750000000000004,0.15614583333333334,45.56999916666666,18.024385083333332,20.354166666666668,919.7728275,254.08900310416666,52.9375
2023-10-18,0.1625,0.15960416666666669,50.8349986875,16.377572708333332,59.916666666666664,919.5133689583334,251.24021406250003,51.333333333333336
2023-10-19,0.7833333333333333,0.18391666666666664,46.6274990625,13.4504480625,20.270833333333332,909.3569745833333,248.4024645625,72.16666666666667
2023-10-20,0.016666666666666666,0.22502083333333334,50.279999062499996,11.201468677083334,31.020833333333332,911.9111208333334,245.57854275,25.125
2023-10-21,0.0,0.23147916666666668,27.6299995625,8.975395924999999,32.6875,922.1785241666666,242.77162347916666,69.10416666666667
2023-10-22,0.06874999999999999,0.23374999999999999,16.754999770833333,10.71598955625,11.083333333333334,921.2666179166666,239.98468064583335,99.97916666666667
2023-10-23,0.08750000000000001,0.23910416666666667,19.522499489583332,9.876062458333333,61.5625,921.3059724999999,237.220953875,52.625
2023-10-24,0.16874999999999998,0.24727083333333333,34.07249933333333,8.717135427083333,44.583333333333336,925.6639377083334,234.4829199375,27.791666666666668
2023-10-25,0.016666666666666666,0.2532083333333333,42.92249858333333,13.415614625000002,90.91666666666667,926.1764179166667,231.76841064583334,70.08333333333333
2023-10-26,0.28125,0.25954166666666667,53.0999990625,14.331322895833333,56.875,921.2960372916667,229.05418020833335,69.95833333333333
2023-10-27,0.052083333333333336,0.2865625,42.20249866666666,10.792302249999999,44.229166666666664,923.0098429166666,226.33959270833336,27.625
2023-10-28,0.060416666666666674,0.29154166666666664,49.25999847916666,12.531614666666668,62.791666666666664,920.75199375,223.62739056249998,29.4375
2023-10-29,0.7604166666666666,0.31114583333333334,41.834999208333336,11.94416675,58.645833333333336,917.2798147916666,220.92061463125,90.375
2023-10-30,0.01875,0.33647916666666666,36.952499270833336,9.583947954166666,34.5625,920.5873554166666,218.22249720833335,27.166666666666668
2023-10-31,0.0,0.3294791666666667,22.694999593749998,9.0142396375,14.666666666666666,928.5066141666666,215.54668860416666,52.666666666666664
2023-11-01,0.08958333333333333,0.325125,49.439998833333334,11.899187624999998,74.77083333333333,924.8874304166667,212.985324375,58.270833333333336
2023-11-02,0.4166666666666667,0.3438125,64.54499908333334,9.909781354166666,43.354166666666664,916.7611327083333,210.44194258333334,19.541666666666668
2023-11-03,0.020833333333333332,0.35085416666666663,50.54249870833333,8.48760423125,69.77083333333333,920.4369087499999,207.91943770208331,31.833333333333332
2023-11-04,0.12291666666666667,0.3456875,65.12999839583334,10.983020916666668,71.08333333333333,912.9987525,205.42100262708334,15.5625
2023-11-05,0.010416666666666666,0.34429166666666666,47.64749916666667,8.475156277083334,36.083333333333336,921.4452402083333,202.94984088541665,0.0
2023-11-06,0.008333333333333333,0.33487500000000003,29.909999708333334,6.410208347916666,37.75,930.6451368749999,200.56788520833334,0.0
2023-11-07,0.02291666666666667,0.3295,26.392499375,5.6517500375,20.729166666666668,934.58211625,198.26219458333333,20.479166666666668
2023-11-08,0.31875000000000003,0.3273333333333333,26.504999833333333,7.587500041666666,62.8125,934.3094870833334,196.03758229166667,68.47916666666667
2023-11-09,0.09166666666666667,0.34370833333333334,30.02999966666667,9.672500010416668,39.3125,931.3810764583333,193.90660302083333,45.166666666666664
2023-11-10,0.10625000000000001,0.3431666666666667,32.95499925,9.349260395833333,83.58333333333333,931.1808679166667,191.81472062499998,25.833333333333332
2023-11-11,0.014583333333333335,0.3431458333333333,46.68749897916666,14.036906229166666,79.5625,930.1244243750001,189.7647279375,72.33333333333333
