,lags,params,custom_metric,n_estimators,max_depth,learning_rate,max_bin,reg_alpha,reg_lambda
182,[1 2 3 4 5 6 7],"{'n_estimators': 700, 'max_depth': 3, 'learning_rate': 0.44535693443913044, 'max_bin': 225, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 0.9}",68.91342864023046,700.0,3.0,0.44535693443913044,225.0,0.7000000000000001,0.9
129,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.4451237543891906, 'max_bin': 225, 'reg_alpha': 0.9, 'reg_lambda': 0.9}",68.93362403585971,1200.0,3.0,0.4451237543891906,225.0,0.9,0.9
103,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.4832776242366969, 'max_bin': 225, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 0.8}",69.6085293561817,1200.0,3.0,0.4832776242366969,225.0,0.7000000000000001,0.8
80,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.44051022900651626, 'max_bin': 225, 'reg_alpha': 0.8, 'reg_lambda': 0.8}",69.63295118789404,1200.0,3.0,0.44051022900651626,225.0,0.8,0.8
174,[1 2 3 4 5 6 7],"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.42665398003030774, 'max_bin': 225, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 0.9}",69.65097686086156,400.0,3.0,0.42665398003030774,225.0,0.7000000000000001,0.9
159,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.42412864716590065, 'max_bin': 225, 'reg_alpha': 0.6000000000000001, 'reg_lambda': 0.8}",69.8836793654719,1200.0,3.0,0.42412864716590065,225.0,0.6000000000000001,0.8
149,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.4539305546155538, 'max_bin': 225, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 0.8}",69.88934707154674,1200.0,3.0,0.4539305546155538,225.0,0.7000000000000001,0.8
153,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.4325781659590776, 'max_bin': 225, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 0.8}",70.2439297714846,1200.0,3.0,0.4325781659590776,225.0,0.7000000000000001,0.8
191,[1 2 3 4 5 6 7],"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.4453138731700259, 'max_bin': 225, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 0.9}",70.27724413219299,400.0,3.0,0.4453138731700259,225.0,0.7000000000000001,0.9
15,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.3983368818461527, 'max_bin': 225, 'reg_alpha': 0.8, 'reg_lambda': 0.7000000000000001}",70.29340162175514,1200.0,3.0,0.3983368818461527,225.0,0.8,0.7000000000000001
13,[1 2 3 4 5 6 7],"{'n_estimators': 1000, 'max_depth': 7, 'learning_rate': 0.32104131393214563, 'max_bin': 250, 'reg_alpha': 0.8, 'reg_lambda': 0.7000000000000001}",70.30051582154827,1000.0,7.0,0.32104131393214563,250.0,0.8,0.7000000000000001
65,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 3, 'learning_rate': 0.3328507652926932, 'max_bin': 225, 'reg_alpha': 0.9, 'reg_lambda': 0.9}",70.45454524100253,1100.0,3.0,0.3328507652926932,225.0,0.9,0.9
84,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.48301194579319234, 'max_bin': 225, 'reg_alpha': 0.8, 'reg_lambda': 0.8}",70.50907859410299,1200.0,3.0,0.48301194579319234,225.0,0.8,0.8
56,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 4, 'learning_rate': 0.43824682986649566, 'max_bin': 225, 'reg_alpha': 0.4, 'reg_lambda': 0.7000000000000001}",70.5390023983568,1100.0,4.0,0.43824682986649566,225.0,0.4,0.7000000000000001
121,[1 2 3 4 5 6 7],"{'n_estimators': 900, 'max_depth': 3, 'learning_rate': 0.4418701371988727, 'max_bin': 225, 'reg_alpha': 0.1, 'reg_lambda': 0.7000000000000001}",70.57930841152022,900.0,3.0,0.4418701371988727,225.0,0.1,0.7000000000000001
189,[1 2 3 4 5 6 7],"{'n_estimators': 800, 'max_depth': 3, 'learning_rate': 0.4283195077791319, 'max_bin': 225, 'reg_alpha': 0.6000000000000001, 'reg_lambda': 0.9}",70.72141881453919,800.0,3.0,0.4283195077791319,225.0,0.6000000000000001,0.9
192,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.44552039620558487, 'max_bin': 225, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 0.9}",70.89865233691172,1200.0,3.0,0.44552039620558487,225.0,0.7000000000000001,0.9
196,[1 2 3 4 5 6 7],"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.46690640111623016, 'max_bin': 225, 'reg_alpha': 0.5, 'reg_lambda': 0.9}",70.93038217139106,400.0,3.0,0.46690640111623016,225.0,0.5,0.9
70,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 3, 'learning_rate': 0.37144633523810666, 'max_bin': 225, 'reg_alpha': 1.0, 'reg_lambda': 0.6000000000000001}",70.9680692847348,1100.0,3.0,0.37144633523810666,225.0,1.0,0.6000000000000001
25,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 6, 'learning_rate': 0.3638725965750921, 'max_bin': 225, 'reg_alpha': 0.5, 'reg_lambda': 0.8}",71.01055230058316,1200.0,6.0,0.3638725965750921,225.0,0.5,0.8
160,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.45013257363554715, 'max_bin': 225, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 0.8}",71.02329807712756,1200.0,3.0,0.45013257363554715,225.0,0.7000000000000001,0.8
134,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.43669129736351886, 'max_bin': 225, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 1.0}",71.03516340241532,1200.0,3.0,0.43669129736351886,225.0,0.7000000000000001,1.0
188,[1 2 3 4 5 6 7],"{'n_estimators': 600, 'max_depth': 3, 'learning_rate': 0.18523265090327007, 'max_bin': 225, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 0.8}",71.08567185243471,600.0,3.0,0.18523265090327007,225.0,0.7000000000000001,0.8
81,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.45401672576964724, 'max_bin': 225, 'reg_alpha': 0.8, 'reg_lambda': 0.8}",71.13934633081249,1200.0,3.0,0.45401672576964724,225.0,0.8,0.8
44,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 3, 'learning_rate': 0.36782100782410004, 'max_bin': 75, 'reg_alpha': 0.6000000000000001, 'reg_lambda': 1.0}",71.41050450752856,1100.0,3.0,0.36782100782410004,75.0,0.6000000000000001,1.0
161,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.4360261413005553, 'max_bin': 225, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 0.8}",71.43443261919279,1200.0,3.0,0.4360261413005553,225.0,0.7000000000000001,0.8
168,[1 2 3 4 5 6 7],"{'n_estimators': 600, 'max_depth': 4, 'learning_rate': 0.419242089714207, 'max_bin': 225, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 0.9}",71.48820759460658,600.0,4.0,0.419242089714207,225.0,0.7000000000000001,0.9
144,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.43021056910061645, 'max_bin': 225, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 0.8}",71.52344919622948,1200.0,3.0,0.43021056910061645,225.0,0.7000000000000001,0.8
120,[1 2 3 4 5 6 7],"{'n_estimators': 800, 'max_depth': 4, 'learning_rate': 0.44901763659470767, 'max_bin': 225, 'reg_alpha': 0.0, 'reg_lambda': 0.7000000000000001}",71.60152729880011,800.0,4.0,0.44901763659470767,225.0,0.0,0.7000000000000001
117,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 3, 'learning_rate': 0.4296335487683735, 'max_bin': 225, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 0.6000000000000001}",71.61550249247084,1100.0,3.0,0.4296335487683735,225.0,0.7000000000000001,0.6000000000000001
175,[1 2 3 4 5 6 7],"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.46462465175507983, 'max_bin': 225, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 0.9}",71.67625068125307,500.0,3.0,0.46462465175507983,225.0,0.7000000000000001,0.9
135,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.46021748978745297, 'max_bin': 225, 'reg_alpha': 0.6000000000000001, 'reg_lambda': 0.9}",71.68168512534332,1200.0,3.0,0.46021748978745297,225.0,0.6000000000000001,0.9
108,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.44992812673621624, 'max_bin': 225, 'reg_alpha': 0.8, 'reg_lambda': 0.9}",71.69208145554198,1200.0,3.0,0.44992812673621624,225.0,0.8,0.9
184,[1 2 3 4 5 6 7],"{'n_estimators': 700, 'max_depth': 3, 'learning_rate': 0.23686905394281665, 'max_bin': 225, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 0.9}",71.70282791711374,700.0,3.0,0.23686905394281665,225.0,0.7000000000000001,0.9
