,lags,params,custom_metric,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda
67,[1 2 3 4 5 6 7],"{'n_estimators': 1000, 'max_depth': 3, 'learning_rate': 0.2011543242836413, 'subsample': 0.5811208972961541, 'colsample_bytree': 0.6204951544430384, 'gamma': 0.04134126016457991, 'reg_alpha': 0.8868824833107624, 'reg_lambda': 0.5589487902014909}",88.13373439128371,1000.0,3.0,0.2011543242836413,0.5811208972961541,0.6204951544430384,0.04134126016457991,0.8868824833107624,0.5589487902014909
53,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 4, 'learning_rate': 0.2290123592517493, 'subsample': 0.6892401158604523, 'colsample_bytree': 0.5839667472386134, 'gamma': 0.192263629838484, 'reg_alpha': 0.8065768963204456, 'reg_lambda': 0.4993212011158427}",89.01743848378241,1200.0,4.0,0.2290123592517493,0.6892401158604523,0.5839667472386134,0.192263629838484,0.8065768963204456,0.4993212011158427
16,[1 2 3 4 5 6 7],"{'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.3557455869012529, 'subsample': 0.6533195743856788, 'colsample_bytree': 0.6032890744305468, 'gamma': 0.7319300161380043, 'reg_alpha': 0.8549049823949196, 'reg_lambda': 0.538768250838865}",89.16836340884277,500.0,5.0,0.3557455869012529,0.6533195743856788,0.6032890744305468,0.7319300161380043,0.8549049823949196,0.538768250838865
140,[1 2 3 4 5 6 7],"{'n_estimators': 800, 'max_depth': 4, 'learning_rate': 0.2278906554863124, 'subsample': 0.6469512230375306, 'colsample_bytree': 0.7826945525402076, 'gamma': 0.15634554963640918, 'reg_alpha': 0.8109212774603783, 'reg_lambda': 0.6056360511371897}",89.20980250172937,800.0,4.0,0.2278906554863124,0.6469512230375306,0.7826945525402076,0.15634554963640918,0.8109212774603783,0.6056360511371897
0,[1 2 3 4 5 6 7],"{'n_estimators': 1000, 'max_depth': 5, 'learning_rate': 0.12115721224645952, 'subsample': 0.5961832921746021, 'colsample_bytree': 0.7475220728070068, 'gamma': 0.42310646012446096, 'reg_alpha': 0.9807641983846155, 'reg_lambda': 0.6848297385848633}",89.2786289741729,1000.0,5.0,0.12115721224645952,0.5961832921746021,0.7475220728070068,0.42310646012446096,0.9807641983846155,0.6848297385848633
29,[1 2 3 4 5 6 7],"{'n_estimators': 600, 'max_depth': 5, 'learning_rate': 0.3990266949985377, 'subsample': 0.6125552206481897, 'colsample_bytree': 0.7752790246693106, 'gamma': 0.6151463473251714, 'reg_alpha': 0.9937920752329577, 'reg_lambda': 0.6846009131446296}",89.31614446876785,600.0,5.0,0.3990266949985377,0.6125552206481897,0.7752790246693106,0.6151463473251714,0.9937920752329577,0.6846009131446296
125,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.2286841221861839, 'subsample': 0.6964075433436108, 'colsample_bytree': 0.5545733065561161, 'gamma': 0.17365133396557778, 'reg_alpha': 0.7975986519341188, 'reg_lambda': 0.47728555348888047}",89.65999541666802,1200.0,3.0,0.2286841221861839,0.6964075433436108,0.5545733065561161,0.17365133396557778,0.7975986519341188,0.47728555348888047
139,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.20573521825531568, 'subsample': 0.5549119206172403, 'colsample_bytree': 0.9901080407793352, 'gamma': 0.266526489726011, 'reg_alpha': 0.9641661435601262, 'reg_lambda': 0.5457599718007756}",89.73691158341353,1200.0,3.0,0.20573521825531568,0.5549119206172403,0.9901080407793352,0.266526489726011,0.9641661435601262,0.5457599718007756
135,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.275467916177906, 'subsample': 0.6801057143728618, 'colsample_bytree': 0.606074066098835, 'gamma': 0.5943719532744839, 'reg_alpha': 0.9872424664660829, 'reg_lambda': 0.40713748365431895}",89.87558851545734,1200.0,3.0,0.275467916177906,0.6801057143728618,0.606074066098835,0.5943719532744839,0.9872424664660829,0.40713748365431895
19,[1 2 3 4 5 6 7],"{'n_estimators': 600, 'max_depth': 4, 'learning_rate': 0.2609889202030604, 'subsample': 0.7754537054723385, 'colsample_bytree': 0.9050206520638464, 'gamma': 0.0013568021986705148, 'reg_alpha': 0.7634090164333591, 'reg_lambda': 0.5722056178649191}",90.0616687188629,600.0,4.0,0.2609889202030604,0.7754537054723385,0.9050206520638464,0.0013568021986705148,0.7634090164333591,0.5722056178649191
