id,Cauce,Municipio,Provincia,Coordenadas UTM,X,Y,Z,Tipo de aforo,Instrumentación,Cuenca vertiente,titulo
2112,Porma,Vegas del Condado,León,Huso 30,42.601107958696325,-5.4050997997225965,820,---,Sonda y limnígrafo,"950,50 km2",Porma en Secos
2113,Negro,Rionegro del Puente,Zamora,Huso 30,42.03621685551041,-6.266733519035061,820,---,Sonda y limnígrafo,"376,70 km2",Negro en Santa Eulalia de Rionegro
2114,Voltoya,Coca,Segovia,Huso 30,41.210418935985956,-4.531737960344607,751,---,"Sonda, flotador y limnígrafo","1.022,00 km2",Voltoya en Coca-Voltoya
2115,Bernesga,León,León,Huso 30,42.59367027638101,-5.578463816100459,823,---,Radar,"538,90 km2",Bernesga en León
2116,Arlanzón,Estépar,Burgos,Huso 30,42.25524238516057,-3.92800991860624,805,---,Flotador,"1.690,00 km2",Arlanzón en Celada del Camino
2119,Bernesga,Villaturiel,León,Huso 30,42.522814568230956,-5.53672394883413,794,---,Sonda,"1.136,00 km2",Bernesga en Alija de la Ribera
2121,Duero,Zamora,Zamora,Huso 30,41.511889647849955,-5.722435712638571,628,---,Sonda,"46.225,80 km2",Duero en Zamora
2122,Luna,Barrios de Luna,León,Huso 30,42.836279473532805,-5.870689340075692,1030,---,Flotador,"492,20 km2",Luna en Salida del embalse de Barrios de Luna
2123,Pedroso,Barbadillo del Pez,Burgos,Huso 30,42.107512889129005,-3.2301698050165633,1038,---,Radar y limnígrafo,"239,30 km2",Pedroso en Barbadillo del Pez
2124,Sequillo,Medina de Rioseco,Valladolid,Huso 30,41.88747145985825,-5.038683577127779,730,---,Flotador y limnígrafo,"848,40 km2",Sequillo en Medina de Rioseco
2125,Ubierna,Quintanilla-Vivar,Burgos,Huso 30,42.42328093503568,-3.682560634543854,850,---,Limnígrafo,"286,33 km2",Ubierna en Sotopalacios
