id,Cauce,Municipio,Provincia,Coordenadas UTM,X,Y,Z,Tipo de aforo,Instrumentación,Cuenca vertiente,titulo
2502,Águeda,Robleda,Salamanca,Huso 30,40.363175771163135,-6.675912089256707,780,---,Sonda,"262,70 km2",Águeda en Robleda-Águeda
2503,Águeda,"Sahugo, El",Salamanca,Huso 30,40.444800449986396,-6.574325974227824,710,---,Sonda,"468,10 km2",Águeda en Salida del embalse de Irueña
2505,Águeda,Saelices El Chico,Salamanca,Huso 30,40.64983656951061,-6.661288251585295,590,---,Flotador,"1.609,20 km2",Águeda en Saelices el Chico
2507,Arlanza,Lerma,Burgos,Huso 30,42.03067845506197,-3.7589206700731204,815,---,Radar,"1.700,00 km2",Arlanza en Lerma
2508,Arlanzón,Pineda de la Sierra,Burgos,Huso 30,42.22545807514895,-3.304684630185351,1160,---,Flotador,"59,40 km2",Arlanzón en Pineda de la Sierra
2510,Bernesga,Cuadros,León,Huso 30,42.75963941076615,-5.636138404512453,920,---,Flotador,"406,20 km2",Bernesga en Cascantes
2511,Cardaño,Velilla del río Carrión,Palencia,Huso 30,42.934434040751675,-4.7602842661889415,1300,---,Sonda,"45,30 km2",Cardaño en Cardaño de Arriba
2512,Carrión,Triollo,Palencia,Huso 30,42.92926518641805,-4.67509269527489,1295,---,Sonda,"118,40 km2",Carrión en Triollo
2514,Casares,Villamanín,León,Huso 30,42.91957070623781,-5.762061810295114,1250,---,Flotador,"26,10 km2",Casares en Salida del embalse de Casares
2516,Cea,Valderas,León,Huso 30,42.08158195823992,-5.4622318463527195,718,---,Sonda,"1.818,70 km2",Cea en Valderas
2517,Cega,Aguilafuente,Segovia,Huso 30,41.27375866973249,-4.0933663623468295,820,---,Flotador,"576,20 km2",Cega en Aguilafuente
2518,Cega,Megeces,Valladolid,Huso 30,41.41606851971259,-4.57155937747909,720,---,Radar,"2.249,50 km2",Cega en Megeces
2519,Duerna,Lucillo,León,Huso 30,42.374141586748195,-6.288519432518052,1060,---,Flotador,"145,40 km2",Duerna en Boisán
2520,Duerna,Castrillo de la Valduerna,León,Huso 30,42.32455473853723,-6.146746929231957,915,---,Flotador,"247,90 km2",Duerna en Velilla de la Valduerna
2522,Duero,Vadocondes,Burgos,Huso 30,41.64429705796949,-3.5735049152034257,795,---,Sonda,"7.323,20 km2",Duero en Vadocondes
2524,Duero,Hinojosa de Duero,Salamanca,Huso 30,41.03101262963366,-6.820708193999128,133,---,Sonda,"75.162,60 km2",Duero en Saucelle-Duero
2525,Eresma,San Ildefonso,Segovia,Huso 30,40.890189436450264,-4.022167138445428,1120,---,Flotador,"80,10 km2",Eresma en Valsaín
2526,Eresma,Palazuelos de Eresma,Segovia,Huso 30,40.921308557314184,-4.049699979293015,1056,---,Sonda,"164,80 km2",Eresma en Salida del embalse de El Pontón Alto
2527,Eresma,Coca,Segovia,Huso 30,41.263463208036306,-4.560612353060156,740,---,Sonda,"2.527,80 km2",Eresma en Coca-Eresma
2528,Esgueva,Torre de Esgueva,Valladolid,Huso 30,41.76253338917108,-4.197478337041738,782,---,Flotador,"677,10 km2",Esgueva en Torre de Esgueva
