id,Provincia,Nombre,X,Y,Z
1179B,ASTURIAS,CABRALES,43.96666666666666,-5.016666666666667,458
1183X,ASTURIAS,LLANES,43.63333333333333,-5.616666666666667,10
1186P,ASTURIAS,"AMIEVA, PANIZALES",43.266666666666666,-5.266666666666667,370
1199X,ASTURIAS,"PILOÑA, BARGAÉU",44.03333333333333,-6.183333333333334,280
1203D,ASTURIAS,COLUNGA,44.03333333333333,-6.066666666666666,30
1207U,ASTURIAS,"GIJÓN, CAMPUS",43.9,-5.883333333333334,26
1208,ASTURIAS,GIJÓN,43.86666666666667,-5.883333333333333,3
1208A,ASTURIAS,GIJÓN. LA MERCED,44.03333333333333,-6.366666666666667,22
1208H,ASTURIAS,"GIJÓN, PUERTO",44.15,-5.75,5
1210X,ASTURIAS,CABO PEÑAS,44.0,-6.75,100
1212E,ASTURIAS,ASTURIAS AEROPUERTO,43.583333333333336,-6.683333333333334,127
1221D,ASTURIAS,PAJARES-VALGRANDE,43.68333333333334,-6.35,1480
1223P,ASTURIAS,"LENA, RONZÓN",44.083333333333336,-6.183333333333333,370
1226X,ASTURIAS,"ALLER, FELECHOSA",43.800000000000004,-6.083333333333334,750
1234P,ASTURIAS,"MIERES, BAIÑA",43.766666666666666,-5.966666666666667,170
1249I,ASTURIAS,OVIEDO,43.550000000000004,-6.316666666666667,336
1249X,ASTURIAS,OVIEDO,43.550000000000004,-6.316666666666667,334
1272B,ASTURIAS,"TINEO, SOUTU",43.699999999999996,-6.583333333333334,280
1276F,ASTURIAS,POLA DE SOMIEDO,43.1,-6.666666666666667,670
1279X,ASTURIAS,"SALAS, CAMUÑO",43.916666666666664,-7.066666666666666,240
1283U,ASTURIAS,CABO BUSTO,43.71666666666667,-6.666666666666667,60
1297E,LUGO,CERVANTES,42.88333333333333,-7.066666666666666,1020
1302F,ASTURIAS,DEGAÑA,43.26666666666667,-6.816666666666666,1310
1309C,ASTURIAS,"IBIAS, SAN ANTOLIN",43.666666666666664,-6.9833333333333325,780
1327A,ASTURIAS,"VILLAYÓN, ONETA",44.38333333333333,-7.066666666666667,410
1331A,ASTURIAS,CASTROPOL,44.0,-7.9,40
