id,Cauce,Municipio,Provincia,Coordenadas UTM,X,Y,Z,Tipo de presa,Capacidad máxima,Superficie máxima,Cuenca vertiente,Altura de presa,Cota de cauce,Cota del nivel Máx. normal,Cota de coronación,Longitud en coronación,titulo
2511,Riaza,Maderuelo,Segovia,Huso 30,41.53005869666175,-3.5549939960731582,917,Gravedad,"54,40 hm3","473,00 ha","760,30 km2","35,60 m","887,30 m","915,30 m","916,60 m","111,85 m",Embalse de Linares del Arroyo
2521,Duratón,Carrascal del Río,Segovia,Huso 30,41.33736577984615,-3.8853414379262006,873,Gravedad,"15,10 hm3","260,00 ha","819,91 km2","42,30 m","839,00 m","875,00 m","875,00 m","114,00 m",Embalse de Burgomillodo
2522,Duratón,Fuentidueña,Segovia,Huso 30,41.42853236661881,-3.9646704031403237,831,Arco Gravedad,"4,50 hm3","71,00 ha",n/d km2,"33,30 m","804,40 m","823,40 m","823,40 m","82,00 m",Embalse de Las Vencías
2541,Eresma,Palazuelos de Eresma,Segovia,Huso 30,40.91650145025355,-4.031371846482586,1105,Bóveda,"7,30 hm3","70,23 ha","153,64 km2","49,00 m","1.061,50 m","1.101,85 m","1.104,50 m","248,00 m",Embalse de El Pontón Alto
2551,Adaja,Mingorria,Ávila,Huso 30,40.724024994187786,-4.695246595748788,1055,Bóveda,"58,20 hm3","394,00 ha","854,99 km2","67,00 m","995,00 m","1.050,50 m","1.054,50 m","299,20 m",Embalse del Castro de las Cogotas
2571,Tormes,Montejo,Salamanca,Huso 30,40.66716154763166,-5.6049473868483455,888,Gravedad,"496,00 hm3","2.579,00 ha","1.851,56 km2","58,50 m","832,70 m","885,70 m","887,20 m","517,00 m",Embalse de Santa Teresa
2572,Tormes,Villagonzalo de Tormes,Salamanca,Huso 30,40.87508707434816,-5.494458528042222,1000,Gravedad,"6,31 hm3","219,17 ha",n/d km2,"10,30 m","794,30 m","804,60 m","807,80 m","146,40 m",Embalse de Villagonzalo
2574,Tormes,Almendra,Salamanca,Huso 30,41.27169609542827,-6.320193162707053,702,Bóveda,"2.586,36 hm3","8.650,00 ha",n/d km2,"202,00 m","547,00 m","730,00 m","730,00 m","567,23 m",Embalse de Almendra
2601,Águeda,Zamarra,Salamanca,Huso 30,40.530968470874626,-6.480759466934856,640,Gravedad,"15,40 hm3","175,80 ha","809,30 km2","34,60 m","627,52 m","659,02 m","662,12 m","195,70 m",Embalse de Águeda
2602,Águeda,Fuenteguinaldo,Salamanca,Huso 30,40.44573908335724,-6.578041981792693,778,Arco Gravedad,"110,00 hm3","600,00 ha","467,09 km2","75,45 m","709,00 m","772,50 m","777,50 m","420,00 m",Embalse de Irueña
